"id"|"Language"|"FrenchText"|"RegionID"|"Department"|"Details"
3|"Nomaande"|"sur la langue nomaandé (lemande)"|1|"parlée dans le Deàpartement du Mbam-et-Inoubou"|
6|"Mkaa'"|"sur la langue mkaa' (bakaka)"|2|"parlée dans le Deàpartement du Moungo"|
7|"Kako"|"sur la langue kako"|4|"parlée dans le Deàpartement de la Kadey"|
8|"Karang"|"sur la langue karang"|6|"parleàe dans le Deàpartement du Mayo-Rey"|
9|"Mbodomo"|"sur la langue gbaya mbodomo"|4|"parlée dans le Deàpartement du Lom-et-Djeàrem"|
10|"Yemba"|"sur la langue yemba"|8|"parleàe dans le Deàpartement de la Meànoua"|
11|"Oku"|"sur la langue oku"|10|"parlée dans le Deàpartement de la Bui"|
12|"Mofu-Gudur"|"sur la langue mofu-gudur"|7|"parleàe dans le Deàpartement du Mayo-Tsanaga"|
13|"Mekaa"|"sur la langue mekaa"|4|"parlée dans le Deàpartement du Haut-Nyong"|
14|"Ngomba"|"sur la langue ngomba"|8|"parlée dans le Deàpartement des Bamboutos"|
16|"Moloko"|"sur la langue moloko"|7|"parleàe dans les Deàpartements du Mayo-Sava et du Diamareà"|
17|"Nugunu"|"sur la langue nugunu"|1|"parlée dans le Deàpartement du Mbam et Inoubou"|
18|"Manyu Literacy"|"sur les langues ejagham, kenyang et denya"|9|"parlées dans les Deàpartements de la Manyu et de la Meàmeà"|"Ejagham, Kenyang and Denya"
19|"Konzime"|"sur la langue koozime"|4|"parlée dans le Deàpartement du Haut-Nyong"|
20|"Noni"|"sur la langue nooni"|10|"parlée dans les Deàpartements de la Bui, de la Donga-Mantung et de la Menchum"|
21|"Survey"|"sociolinguistiques"|11|"qui seront menées sur l'ensemble du territoire national"|
22|"Mundani"||12|"parlée"|
23|"Limbum"|"sur la langue limbum"|10|"parlée dans le Deàpartement de la Donga-Mantung"|
24|"Kuo"||12|"parlée"|
25|"Ngyemboon"|"sur la langue ngiemboon"|8|"parlée dans les Deàpartements des Bamboutos et Menoua"|
26|"Tikar"||12|"parlée"|
27|||12||
28|"Bakossi"||12|"parlée"|
29|"Bafut"||10||
30|"Support"||12|"parlée"|
31|"Gude"||12|"parlée"|
32|"Yamba"||12|"parlée"|
33|"Bana"||12||
34|"Denya"|"sur la langue denya"|9|"parlée dans le Deàpartement de la Manyu"|
35|"Ejagham"||12||
36|"Kenyang"|"sur la langue kenyang"|9|"parlée dans le Deàpartement de la Manyu"|
37|"Podoko"||12||
38|"Daba"||12||
39|"Lamnso'"|"sur la langue lamnso'"|10|"parlée le Département du Bui"|
40|"Mbuko"|"sur la langue mbuko"|7|"parlée dans les Deàpartements du Diamareà et du Mayo-Sava"|
41|"Mandara"||12||
42|"Manyu Linguistics"|"sur les langues kenyang et denya"|9|"parlées dans les Deàpartements de la Manyu et de la Meàmeà"|"Kenyang and Denya"
44|"Aghem"|"sur la langue aghem"|10|"parleààe dans le Deàpartement de la Menchum"|
45|"Mankou"||12||
46|"Kotoko"|"sur la langue mpadí (varieàteà kotoko de Makari )"|7|"parleàe dans le Deàpartement du Logone et Chari"|
47|"Pelasla"|"sur la langue pelasla"|7|"parlée dans le Deàpartement du Mayo-Sava"|
48|"Elip, Mmaala et Yangben"|"sur les langues Elip, Mmaala et Yangben."|1|"parlées dans le Deàpartement du Mbam."|
49|"Bafut, Kom et Lamnso'"|"sur les langues bafut, kom et lamnso'"|10|"parlées dans les Deàpartements de la Mezam, Menchum et Bui"|
50|"Yambeta, Nomaande, Nugunu et Nuasue"|"sur les langues yambeta, nomaandeà, nugunu, nuasue"|1|"parlées dans le Deàpartement du Mbam et Inoubou"|
51|"Mambaï"|"sur la langue mambaï"|6|"parlée dans les Deàpartements de la Beànoueà et du Mayo-Louti"|
54|"Buwal"|"sur la langue buwal"|7|"parleàe le deàpartement du Mayo - Tsanaga"|
56|||12||
60|"Uldeme"||12||
65|"Bikele"|"sur la langue bikele"|4|"parleàe dans le Deàpartement du Haut - Nyong"|
66|"Yambassa  Central ( 542 )"|"sur la langue yambassa central ( 542 )"|1|"parleàe dans le Deàpartement du Mbam et Inoubou"|
